rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month
76,spotify:track:21x7Ld7I7X7HQtDgS8al5Z,"Wren Evans, itsnk",Quyền Anh,Universal Music Indochina,35,73,7,223792,1
77,spotify:track:1MiJk3dXC5jzhvLFP0dUM7,Da LAB,Thức Giấc,Yin Yang Media,1,86,134,222863,1
78,spotify:track:5Bti0azlFhMattVY76qFr9,Vũ.,Lạ Lùng,WM Vietnam,17,66,304,222372,1
79,spotify:track:1465dD5VklIYHkKfcfirkU,"Wren Evans, itsnk",Tình Yêu Vĩ Mô,Universal Music Indochina,36,78,7,219289,1
80,spotify:track:4TMdpMJNQdcawl8JjZEwLk,Lãng,Nụ hôn Bisou,12 trái lê,10,74,28,218721,1
81,spotify:track:0eKIEiMHZv0pOxz4iGOXda,"Lil Wuyn, 16 BrT, 16 Typh",TOKYO Cypher,12 trái lê,45,80,13,214360,1
82,spotify:track:0vkExWiBJSrfWnlMC7x48b,UMIE,Không Yêu Xin Đừng Nói - Piano Version,LOOPS Music,37,88,48,213329,1
83,spotify:track:7kgzRBNkBRArtTPkYjWLYT,"14 Casper, Bon Nghiêm",bao tiền một mớ bình yên?,DANDERLÉON,9,81,145,211549,1
84,spotify:track:3QD2NfLEIvMRbzv2uTu4B7,Myra Trần,Anh Chưa Thương Em Đến Vậy Đâu,Sony Music Entertainment,6,93,56,208987,1
85,spotify:track:76KYaCx7UjHwlnrqzcovLZ,PC,10 Ngàn Năm,12 trái lê,61,84,86,208326,1
86,spotify:track:0Qs29ApstkrU5T8S5Hxazw,"BigDaddy, Emily",Ngõ Chạm,LOOPS Music,41,96,26,205027,1
87,spotify:track:6DyotcCWPqKQT8YWireU6L,Low G,Tán Gái 505,Rap Nhà Làm,65,85,37,204174,1
88,spotify:track:5uyNAX6MazVAjBjVeOsTvp,"W/N, Duongg, Nâu",3 1 0 7 (feat. Duongg & Nâu),"HONG AN ENTERTAIMENT,.JSC",11,87,182,202593,1
89,spotify:track:3ET3xHCLMGd57u06A9RjJ0,Ronboogz,Nói Dối,MaiDao Music,79,79,13,198545,1
90,spotify:track:1EmMFSLRVkOszCa4ul9z0F,"W/N, Duongg, Nau, titie",3107 3,Universal Music Indochina Distributed Labels,1,91,131,197399,1
91,spotify:track:1Vla7vXcM0zimotYpresDT,tlinh,tình yêu có nghĩa là gì?,Universal Music Indochina Distributed Labels,7,82,25,197298,1
92,spotify:track:0MJ5wKsPEeihONNfugHGy7,HYBS,Tip Toe,JUICEY,52,89,10,194623,1
93,spotify:track:7FX4Ae2nf5U6Y42AEMR9lc,"Wren Evans, itsnk",Lối Chơi (Interlude),Universal Music Indochina,48,92,7,194078,1
94,spotify:track:3vsmNXDJsCUt2ESWPwFaAv,"Wren Evans, itsnk",ĐĐĐ,Universal Music Indochina,56,97,7,190785,1
95,spotify:track:45PPoUgqs3JrhkZGEzSUHT,"W/N, ERIK, Nau","3107 4 (feat. Erik, Nâu)",Universal Music Indochina Distributed Labels,24,100,42,189511,1
96,spotify:track:3CyGK8BeJ5iCunpzvHyINs,B Ray,Anh Luôn Như Vậy,MIXUS,10,95,17,187728,1
97,spotify:track:4Iz5EWPCAT8jYNk4IpLoll,buitruonglinh,Dù Cho Mai Về Sau,Yin Yang Media,10,106,150,184530,1
98,spotify:track:7h2zqUH4bYyknNUxsYnS5V,"PhucXp, Freak D",Như Anh Đã Thấy Em,MaiDao Music,33,98,58,182878,1
99,spotify:track:5yNB5nPXblrSwtS9d0ssAU,"W/N, 267",id 2022 (feat. 267),W NATION,61,76,5,180747,1
100,spotify:track:4vfhartd7HDWGJbdVIycEu,Sơn Tùng M-TP,Muộn Rồi Mà Sao Còn,Universal Music Indochina Distributed Labels,1,107,145,180151,1
101,spotify:track:1fh5Sf3fFESFOS8D82RQiI,"AMEE, Hoàng Dũng",từ thích thích thành thương thương,Yin Yang Media,6,101,115,179386,1
102,spotify:track:1dUmmBh2nw8XzEI3au0uFs,Thịnh Suy,Chết Trong Em,InQ International,4,104,66,176818,1
103,spotify:track:2ctmaWoBxLBYiZB7AKmK1D,Low G,Bảo Tàng,Nhà Hóa Học Đống Đa,33,99,9,176472,1
104,spotify:track:3AejRjgBsFV4HWHjJmmEP7,"GREY D, Orange, Kai Đinh",lời tạm biệt chưa nói,Universal Music Indochina Distributed Labels,22,109,80,174733,1
105,spotify:track:5qbjUmVV1yOOjcMOInNPYD,"Kai Đinh, MIN, GREY D",để tôi ôm em bằng giai điệu này,Yin Yang Media,18,116,58,173172,1
106,spotify:track:4AgFXIVT7hVhBZ5DEOaLu3,Thịnh Suy,tiny love,Yin Yang Media,3,110,113,172981,1
